disease,Disease Category
Labour Pains,Maternity & Reproductive Health
Laparoscopic Assisted Vaginal Hysterectomy + Bilateral Salpingectomy + B/L oophorectomy,Maternity & Reproductive Health (Surgical)
Laparoscopic Hysterectomy,Maternity & Reproductive Health (Surgical)
LARGE LIPOMA OVER BACK,Skin Disorders
Laryngotracheobronchitis,Respiratory Disorders
LATERAL MENISCUS TEAR RIGHT KNEE,Musculoskeletal Disorders (Knee)
LE cataract MICS,Eye Disorders
Le Near Mature Cataract,Eye Disorders
left axillary swelling,Other (Lymphatic System)
Left Body Of Zygoma And Zygomatic Arch Fracture With Left Zygomatic Maxillary Fracture,Other (Injury Type)
left brachial plexus injury,Neurological Disorders
Left Eye - Cataract,Eye Disorders
LEFT EYE CATARACT,Eye Disorders
Left Eye Cataract,Eye Disorders
left eye cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
left eye cataract,Eye Disorders
LEFT EYE CATARACT SURGERY,Eye Disorders
LEFT EYE CATARACT SURGERY,Eye Disorders
Left Eye Dcr Operative Note Left Eye Dcr,Eye Disorders
left eye detachment,Eye Disorders
Left Hilar mass under evaluation,Respiratory Disorders
left knee fracture,Musculoskeletal Disorders
Left LL acute deep thrombosis,Cardiovascular Disorders (Circulatory Issues)
LEFT LOWER URETRIC CALCULI,Kidney Ailments
LEFT RENAL DYSURIA UTI,Kidney Ailments
"LEFT UNDESENDED TESTIS, HERNIA",Genitourinary Disorders
Left Upper Ureteric Stone With Htn,Kidney Ailments
Left Upper Ureteric Stone With Htn,Kidney Ailments
Left Upper Ureteric Stone With Htn,Kidney Ailments
Left Upper Ureteric Stone With Htn,Kidney Ailments
Left Ureteric Calculus,Kidney Ailments
leg operation,Musculoskeletal Disorders (Requires More Context)
LEUCOPENIA UNDER EVALUATION,Other (Hematological)
LRTI,Respiratory Disorders
LRTI,Respiratory Disorders
LRTI,Respiratory Disorders
LRTI,Respiratory Disorders
LRTI,Respiratory Disorders
LRTI - MEDICAL MGMT,Respiratory Disorders
LRTI ENTRIC FEVER,"Respiratory Disorders, Infectious Diseases"
Lrti With Resp Failure With Newly Detected Dm With Ida With Vit B12 Vit D Deficiancy,"Respiratory Disorders, Endocrine Disorders, Other (Hematological)"
Lrti With Resp Failure With Newly Detected Dm With Ida With Vit B12 Vit D Deficiancy,"Respiratory Disorders, Endocrine Disorders, Other (Hematological)"
Lrti With Resp Failure With Newly Detected Dm With Ida With Vit B12 Vit D Deficiancy,"Respiratory Disorders, Endocrine Disorders, Other (Hematological)"
Lrti With Resp Failure With Newly Detected Dm With Ida With Vit B12 Vit D Deficiancy,"Respiratory Disorders, Endocrine Disorders, Other (Hematological)"
"LRTI, Ca Tongue","Respiratory Disorders, Cancer"
"LRTI, Ca Tongue","Respiratory Disorders, Cancer"
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
lscs,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS,Maternity & Reproductive Health
LSCS G2P1L0A1,Maternity & Reproductive Health
"LSCS, OUTCOME OF DELIVERY",Maternity & Reproductive Health
"LSCS, OUTCOME OF DELIVERY",Maternity & Reproductive Health
"LSCS, OUTCOME OF DELIVERY",Maternity & Reproductive Health
"LSCS, OUTCOME OF DELIVERY",Maternity & Reproductive Health
"LSCS, OUTCOME OF DELIVERY",Maternity & Reproductive Health
"LSCS, OUTCOME OF DELIVERY",Maternity & Reproductive Health
"LSCS, OUTCOME OF DELIVERY",Maternity & Reproductive Health
LT RENAL CALCULI,Kidney Ailments
"Malignant neoplasm of bladder, unspecified",Cancer (Urinary)
Malignant neoplasm of breast nonoperative,Cancer
Martenity,Maternity & Reproductive Health
Martenity,Maternity & Reproductive Health
Martenity,Maternity & Reproductive Health
Maternity,Maternity & Reproductive Health
MATERNITY,Maternity & Reproductive Health
MATERNITY,Maternity & Reproductive Health
Maternity,Maternity & Reproductive Health
maternity,Maternity & Reproductive Health
Maternity,Maternity & Reproductive Health
Maternity,Maternity & Reproductive Health
Maternity,Maternity & Reproductive Health
Maternity - child birth,Maternity & Reproductive Health
Maternity (Caesarean),Maternity & Reproductive Health
MATERNITY LSCS,Maternity & Reproductive Health
Maternity LSCS,Maternity & Reproductive Health
media sternal LN,Other (Lymphatic System)
Medical,Other
Medical,Other
Medical,Other
Medical,Other
MEDICAL GENERAL,Other
MEDICAL GENERAL,Other
MEDICAL GENERAL,Other
MEDICAL GENERAL,Other
MEDICAL GENERAL,Other
MEDICAL GENERAL,Other
MELANOMA OF ANAL CANAL LUNG METS,"Cancer (Gastrointestinal, Respiratory)"
Metal blockage in Nose - Endoscopy,"Ear, Nose & Throat Disorders"
Metastatic carcinoma breast,Cancer
Mild hemorrhage in my eye retina,Eye Disorders
MISSED ABORTION,Maternity & Reproductive Health
MISSED ABORTION,Maternity & Reproductive Health
MISSED ABORTION,Maternity & Reproductive Health
MISSED ABORTION,Maternity & Reproductive Health
MISSED ABORTION G3PP2L2,Maternity & Reproductive Health
MODERATE PRETERM/ 32 WEEKS 2 DAYS/ 1.86 KG/ AGA/ MALE/ RDS/ SURFECTENTTHERAPY MECANICAL VENTILATED/,Maternity & Reproductive Health (Neonatal)
Mononeuropathies of upper limb,Neurological Disorders
Multiple Goiter,Endocrine Disorders
Multiple Goiter,Endocrine Disorders
Multiple Goiter,Endocrine Disorders
Multiple Goiter,Endocrine Disorders
Multiple Myeloma,Cancer
Multiple myeloma,Cancer
Multiple myeloma,Cancer
multiple myeloma,Cancer
MULTIPLE SMALL TO MEDIUM SIZE GASTRIC POLYPS PLAN: ENDOSCOPIC BAND LIGATION,Gastrointestinal Disorders
MUSCLE SPRAINDISC BULDGE,Musculoskeletal Disorders
MYOPIA,Eye Disorders
"MYOPIA, Dim. vision on both eyes",Eye Disorders
Nasal Mass - Inverted Papilloma,"Ear, Nose & Throat Disorders"
Nasal Mass - Inverted Papilloma,"Ear, Nose & Throat Disorders"
Nasal Mass - Inverted Papilloma,"Ear, Nose & Throat Disorders"
Nasal Mass - Inverted Papilloma,"Ear, Nose & Throat Disorders"
nasal obstruction,"Ear, Nose & Throat Disorders"
NEO NATAL HYPERBILIRUBINEMIA,Maternity & Reproductive Health (Neonatal)
neonatal hyperbilirubinemia,Maternity & Reproductive Health (Neonatal)
NEONATAL HYPERBILIRUBINEMIA,Maternity & Reproductive Health (Neonatal)
NEONATAL HYPERBILIRUBINEMIA,Maternity & Reproductive Health (Neonatal)
NEONATAL JAUNDICE,Maternity & Reproductive Health (Neonatal)
NEONATAL JAUNDICE,Maternity & Reproductive Health (Neonatal)
neonatal jaundice,Maternity & Reproductive Health (Neonatal)
NEONATAL JAUNDICE,Maternity & Reproductive Health (Neonatal)
NEONATAL JAUNDICE,Maternity & Reproductive Health (Neonatal)
Neonatal jaundice from other and unspecified causes,Maternity & Reproductive Health (Neonatal)
"Neonatal Seizure,Neonatal Hyperbilirubinemia And Hypocalcemia","Maternity & Reproductive Health (Neonatal), Other (Elevated Bilirubin), Other (Hypocalcemia)"
NEUROLOGY/NEUROSURGERY,Neurological Disorders
NEUROLOGY/NEUROSURGERY,Neurological Disorders
NEUROLOGY/NEUROSURGERY,Neurological Disorders
NEW BORN ASSESSMENT,Maternity & Reproductive Health (Neonatal)
New born baby,Maternity & Reproductive Health (Neonatal)
New born Care,Maternity & Reproductive Health (Neonatal)
New born Term AGA Female,Maternity & Reproductive Health (Neonatal)
NICU,Maternity & Reproductive Health (Neonatal Care)
No Discharge Summary,Other
"Non alcoholic fatty liver disease, cirrhosis of liver",Gastrointestinal Disorders (Liver)
Non congenital squint correction,Eye Disorders
Non-insulin-dependent diabetes mellitus,Endocrine Disorders (Diabetes)
Noninflammatory disorders of female genital tract,Maternity & Reproductive Health
"Noninflammatory disorders of ovary, fallopian tube and broadligament",Maternity & Reproductive Health
"NORMAL DELIVERY , OUTCOME OF DELIVERY",Maternity & Reproductive Health
"NORMAL DELIVERY, OUTCOME OF DELIVERY",Maternity & Reproductive Health
"NORMAL DELIVERY, OUTCOME OF DELIVERY",Maternity & Reproductive Health
"NORMAL DELIVERY, OUTCOME OF DELIVERY",Maternity & Reproductive Health
"NORMAL DELIVERY, OUTCOME OF DELIVERY",Maternity & Reproductive Health
NVD,Maternity & Reproductive Health
OBSTETRIC & GYNAECOLOGY,Maternity & Reproductive Health
OBSTETRIC & GYNAECOLOGY,Maternity & Reproductive Health
OLD FRACTURE FIBULA WITH IMPLANT IN SITU,Musculoskeletal Disorders
Operation,Other (Requires Context)
OPTHALMOLOGY,Eye Disorders
OPTHALMOLOGY,Eye Disorders
ORCHITIS,Genitourinary Disorders
ORTHOPEDICS,Musculoskeletal Disorders
OSTEOARTHRITIS RIGHT KNEE,Musculoskeletal Disorders (Knee)
Other bursopathies,Musculoskeletal Disorders (Joint)
Other bursopathies,Musculoskeletal Disorders (Joint)
"Other disorders of fluid, electrolyte and acid-base balance",Other (Metabolic/Electrolyte)
Other hypothyroidism,Endocrine Disorders
"Other intervertebral disc disorders, lumbar region",Musculoskeletal Disorders (Spine)
"Other intervertebral disc disorders, lumbar region",Musculoskeletal Disorders (Spine)
"Other joint disorders, not elsewhere classified",Musculoskeletal Disorders
Other noninfective gastroenteritis and colitis,Gastrointestinal Disorders
Other noninfective gastroenteritis and colitis,Gastrointestinal Disorders
Other nontraumatic intracranial haemorrhage,Neurological Disorders
Other sepsis,Infectious Diseases
Other spontaneous disruption of anterior cruciate ligament of right knee,Musculoskeletal Disorders (Knee)
Other viral pneumonia,Respiratory Disorders (Viral)
OTITIS MEDIA,"Ear, Nose & Throat Disorders"
OVARIAN CYST,Maternity & Reproductive Health (Ovarian)
OVARIAN CYST,Maternity & Reproductive Health (Ovarian)
OVARIAN EDOMETRIOMA,Maternity & Reproductive Health (Ovarian)
p vivax malaria,Infectious Diseases (Malaria)
P1l1 Underwent Ftnvd With Rmle,Maternity & Reproductive Health
P2L2 WITH AUB - FIBROID UTERUS,Maternity & Reproductive Health (Uterine)
PAIN,Other (Symptom)
PAIN,Other (Symptom)
PAIN ABD WITH Menorrhagia,Gastrointestinal Disorders (with Menstrual Issue)
PAINFUL IMPLANT IN RIGHT ANKLE - CC SCREW,Musculoskeletal Disorders
PARINEAL ABSCESS WITH FISTULA IN ANO,Gastrointestinal Disorders
Phimosis,Genitourinary Disorders
Phimosis,Genitourinary Disorders
Phimosis,Genitourinary Disorders
Phimosis,Genitourinary Disorders
Phimosis,Genitourinary Disorders
PHIMOSIS,Genitourinary Disorders
PHOTOTHERAPY,Maternity & Reproductive Health (Neonatal)
PIVD,Musculoskeletal Disorders (Spine)
PL EUFFUSION,Respiratory Disorders
pneumonia,Respiratory Disorders
PNEUMONITIS LEFT SIDE,Respiratory Disorders
Portal Cavernoma,Cardiovascular Disorders
Post traumatic skin necrosis over the lateral aspect of left elbow 2) Distoradiulnar joint disniptio,"Musculoskeletal Disorders, Skin Disorders"
Post-term newborn,Maternity & Reproductive Health
PRE NATAL ADMISSION,Maternity & Reproductive Health
Pre or Post Hospitalisation expenses,Other (Hospitalization Type)
Pre or Post Hospitalisation expenses,Other (Hospitalization Type)
PRE TERM VAGINAL DELIWARY,Maternity & Reproductive Health
PREGNANCY,Maternity & Reproductive Health
PREGNANCY,Maternity & Reproductive Health
Presence of other functional implants,"Other (Implants, Requires Context)"
PRIMARY INFERTILITY,Maternity & Reproductive Health
Primary Infertility,Maternity & Reproductive Health
"PRIME GRAVIDA WITH 37 WEEK OF PRGNA NCY LP,",Maternity & Reproductive Health
primi,Maternity & Reproductive Health
PRIMI,Maternity & Reproductive Health
PRIMI,Maternity & Reproductive Health
PRIMI AT 37+3 WEEKS WITH GDM ON DIET WITH PROM.,Maternity & Reproductive Health (Diabetic)
Primi at Term with CPD with PROM,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI LSCS,Maternity & Reproductive Health
PRIMI NVD,Maternity & Reproductive Health
PRIMI WITH 20 WEEKS PREGNANCY WITH THREATNED ABORTION,Maternity & Reproductive Health
PRIMI WITH FTP,Maternity & Reproductive Health
PRIMI WITH FTP,Maternity & Reproductive Health
Primi with FTP with Cephalic Presentation in Labour,Maternity & Reproductive Health
Primi With Full Term Pregnancy,Maternity & Reproductive Health
primigravida,Maternity & Reproductive Health
Primigravida At 37 Weeks 6 Days With Pog With Decreased Fetal Movement,Maternity & Reproductive Health
Primigravida With 7 Weeks 1 Days Pog With Missed Abortion,Maternity & Reproductive Health
prolapse uterus,Maternity & Reproductive Health (Uterine)
Prostatomegaly With Vesical Calculus,Genitourinary Disorders
Prostatomegaly With Vesical Calculus,Genitourinary Disorders
Prostatomegaly With Vesical Calculus,Genitourinary Disorders
Prostatomegaly With Vesical Calculus,Genitourinary Disorders
PTERYGIUM,Eye Disorders
PULMONARY OEDEMA,Respiratory Disorders
Pulmonary Tb With Anemia,Respiratory Disorders (with Tuberculosis)
PUO,Infectious Diseases
PUS DISCHRGE FROM EAR,"Ear, Nose & Throat Disorders"
PYREXIA,Infectious Diseases
Pyrexia With Age,Infectious Diseases
R57.0-Cardiogenic shock,Heart Ailments (Cardiogenic Shock)
RDS,Respiratory Disorders
RE CATARACT,Eye Disorders
Recurrent Chronic Tonsillitis Adenoid Hypertrophy,"Ear, Nose & Throat Disorders"
RENAL CALCULI,Kidney Ailments
RENAL CALCULUS,Kidney Ailments
RENAL STONE,Kidney Ailments
RESPIRATORY DISTRESS,Respiratory Disorders
RESPIRATORY DISTRESS,Respiratory Disorders
"RESPIRATORY DISTRESS, pneumonea",Respiratory Disorders
RESPIRATORY TRACT INFECTION TACHYPNOEA,Respiratory Disorders
Rheumatoid Arthritis With Polyarthralgia With L5 Spondylolysis Tec Diffuse Bulge Lu-5,Musculoskeletal Disorders
Right Axillary Breast Fibroadenoma,Maternity & Reproductive Health
Right Eye Cataract,Eye Disorders
Right Eye Cataract,Eye Disorders
Right Inguinal Hernia,Gastrointestinal Disorders
Right Knee Acl Tear With Lateral Meniscus Tear With Medial Meniscus Tear,Musculoskeletal Disorders
Right Lower Limb,Musculoskeletal Disorders
RIGHT LOWER LIMB CHRONIC ISCHEMIA,Cardiovascular Disorders (Circulatory Issues)
"Right Pontine Infarct,70 Percent Flow Limiting Stenosis Of Mid Basilar Artery",Neurological Disorders (Stroke)
RIGHT PROXIMAL 13RD SHAFT HUMERUS FRACTURE,Musculoskeletal Disorders
Right Proximal Humerus 4 Part Fracture Dislocation With Vascular And Neurological,Musculoskeletal Disorders
Right Proximal Humerus 4 Part Fracture Dislocation With Vascular And Neurological,Musculoskeletal Disorders
Right Proximal Humerus 4 Part Fracture Dislocation With Vascular And Neurological,Musculoskeletal Disorders
Right Proximal Humerus 4 Part Fracture Dislocation With Vascular And Neurological,Musculoskeletal Disorders
Right Shaft Humerus Fracture,Musculoskeletal Disorders
Right side cervicoscapular Brachial pain/parethesias,Musculoskeletal Disorders
Right Tibia Fibula Shaft Fracture,Musculoskeletal Disorders
Right Ureteric Calculi,Kidney Ailments
Right ureteric calculus with uropathy,Kidney Ailments
Routine Child Health Examination (Well Baby),Other (Pediatric Check-up)
RT BREAST LUMP,Maternity & Reproductive Health (Breast)
Rt Inguinal Hernia,Gastrointestinal Disorders
Rt Knee Abscess ---> I & D,"Musculoskeletal Disorders (Knee, Infectious)"
RT OLECRANON,Musculoskeletal Disorders
RT RADIUS FRACTURE,Musculoskeletal Disorders
RT URETERIC STONE,Kidney Ailments
RT URETRIC CALCULUS,Kidney Ailments
RT. SIDE OPEN FRACTURE,Musculoskeletal Disorders
RTA FRACTURE OF LEFT CONDYLE,Musculoskeletal Disorders
RTA head Injury,Other (Injury Type)
Rta Head Injury Mild Sah Left Posterior Parietal Temporal Lobe Sulci,"Other (Injury Type, Neurological)"
RTA with Polytrauma,Other (Injury Type)
RTA WITH PROXIMAL LEFT TIBIA FRACTURE / ORIF,Musculoskeletal Disorders
Ruptrued right tubal ectopic with massive hemoperitoneum,Maternity & Reproductive Health
Ruptured ectopic pregnancy right side,Maternity & Reproductive Health
"S09.90XA-Unspecified injury of head, initial encounter","Other (Injury Type, Head)"
Sabdhishool With Katishoolwith Greevashool,Musculoskeletal Disorders (Neck and Back Pain)
Safe confinement,Maternity & Reproductive Health
Sah With Right M3mca Superior Division Dysplastic Aneurysm,Neurological Disorders (Aneurysm)
SAID SEPSIS SACRAL BED SORE GRADE 4,"Infectious Diseases, Skin Disorders"
"Sari- Viral Lower Respiratory Tract Infection, Uncontrolled T2 Dm, Uti, Anemia, Morbid Obesity","Respiratory Disorders, Endocrine Disorders, Kidney Ailments, Other (Hematological)"
"Sari- Viral Lower Respiratory Tract Infection, Uncontrolled T2 Dm, Uti, Anemia, Morbid Obesity","Respiratory Disorders, Endocrine Disorders, Kidney Ailments, Other (Hematological)"
"Sari- Viral Lower Respiratory Tract Infection, Uncontrolled T2 Dm, Uti, Anemia, Morbid Obesity","Respiratory Disorders, Endocrine Disorders, Kidney Ailments, Other (Hematological)"
"Sari- Viral Lower Respiratory Tract Infection, Uncontrolled T2 Dm, Uti, Anemia, Morbid Obesity","Respiratory Disorders, Endocrine Disorders, Kidney Ailments, Other (Hematological)"
SCC right Leg with left inguinal Hernia,"Skin Disorders, Gastrointestinal Disorders"
Seizure disorder,Neurological Disorders
seizure disorder,Neurological Disorders
SEIZURE DISORDERS,Neurological Disorders
seizures,Neurological Disorders
SELF FALL WITH PHALANX 5TH FINGER,Musculoskeletal Disorders
Senile cataract,Eye Disorders
Senile cataract,Eye Disorders
Senile cataract,Eye Disorders
Senile cataract,Eye Disorders
Senile cataract,Eye Disorders
SEPSIS WITH ENTRITIS,"Infectious Diseases, Gastrointestinal Disorders"
Septicemia With Age With Anemia With Abdominal Distance,Infectious Diseases
"SEVERE MENORRHOGIA, DENGUE FEVER, ANEMIA",Infectious Diseases (with Menstrual issue)
SIMPLE FEBRILE SEIZURES,Neurological Disorders
Single delivery by caesarean section,Maternity & Reproductive Health
Single delivery by caesarean section,Maternity & Reproductive Health
Single delivery by caesarean section,Maternity & Reproductive Health
Single delivery by caesarean section,Maternity & Reproductive Health
Single delivery by caesarean section,Maternity & Reproductive Health
"Single liveborn infant, delivered by cesarean",Maternity & Reproductive Health
"Single liveborn infant, delivered vaginally",Maternity & Reproductive Health
Single pregnancy - Caesarean Delivery,Maternity & Reproductive Health
Single pregnancy - Caesarean Delivery,Maternity & Reproductive Health
Single pregnancy - Caesarean Delivery,Maternity & Reproductive Health
Single pregnancy - Caesarean Delivery,Maternity & Reproductive Health
Single pregnancy - Normal Delivery,Maternity & Reproductive Health
Small Cell Neuroendocrine Carcinoma.,Cancer
STABLE ANGINA,Heart Ailments
Sternal Wound Infection With Htn With T2dm,"Other (Infection, Hypertension, Diabetes)"
STITCH GRANULOMA WITH PUS FORMATION,"Other (Infection, Requires More Context)"
Stricture Urethra,Genitourinary Disorders
Subacute Intestinal Obstruction,Gastrointestinal Disorders
SUBACUTE INTESTINE OBSTRUCTION AKT -2009 HL LAP EXPLORATORY WITH RT. HEMICOLECTOMYLEFT URETER CALCULUS,"Gastrointestinal Disorders, Kidney Ailments"
Subarachnoid haemorrhage,Neurological Disorders
Supervision of high-risk pregnancy,Maternity & Reproductive Health
Surgical,Other (Procedure Type)
Surgical,Other (Procedure Type)
Surgical,Other (Procedure Type)
Surgical,Other (Procedure Type)
Symptoms and signs involving the circulatory and respiratory systems,"Cardiovascular Disorders, Respiratory Disorders"
TBMMENINGITISMENINGOENCEPHALITIS,Neurological Disorders (with Meningitis)
TERM PREGNANCY,Maternity & Reproductive Health
Term Pregnancy,Maternity & Reproductive Health
TIBIA FRACTURE RTA,Musculoskeletal Disorders
TONSILITIS,"Ear, Nose & Throat Disorders"
"TONSILLITIS , FEVER","Ear, Nose & Throat Disorders, Infectious Diseases"
TORSION OF LEFT TESTIS,Genitourinary Disorders
Total Lap Hysterectomy,Maternity & Reproductive Health (Surgical)
Transient Ischemic Attack With T2dm,"Neurological Disorders (Stroke, Diabetes)"
Transient Ischemic Attack With T2dm,"Neurological Disorders (Stroke, Diabetes)"
Transient Ischemic Attack With T2dm,"Neurological Disorders (Stroke, Diabetes)"
Transient Ischemic Attack With T2dm,"Neurological Disorders (Stroke, Diabetes)"
Tropical Fever With Acute Abdomen With Probable Enteric,Infectious Diseases
TUBERCULAR MENINGITIS,Infectious Diseases
Type 1 diabetes mellitus with ketoacidosis,Endocrine Disorders (Diabetic Ketoacidosis)
TYPE 2 RENAL FAILURE WITH CKD,Kidney Ailments
Typhiod fever,Infectious Diseases
TYPHOID,Infectious Diseases
Typhoid fever,Infectious Diseases
Typhoid Fever With Urinary Tract Infection,Infectious Diseases
"UA, TVCAD.",Heart Ailments
Umbilical Hernia,Gastrointestinal Disorders
UMBILICAL HERNIA UMBILICAL HERNIA,Gastrointestinal Disorders
Umbilical Sinus,Gastrointestinal Disorders
Umbilical Sinus,Gastrointestinal Disorders
Umbilical Sinus,Gastrointestinal Disorders
Umbilical Sinus,Gastrointestinal Disorders
Unilateral primary osteoarthritis left knee,Musculoskeletal Disorders
United Fracture Of Left Wrist,Musculoskeletal Disorders
United Fracture Of Left Wrist,Musculoskeletal Disorders
United Fracture Of Left Wrist,Musculoskeletal Disorders
United Fracture Of Left Wrist,Musculoskeletal Disorders
Unspecified arthropod-borne viral fever,Infectious Diseases
UNSTABLE ANGINA,Heart Ailments
unstable angina,Heart Ailments
Upper Gi Bleed With Esophageal Varices,Gastrointestinal Disorders
Ureteric calculi with UTI,Kidney Ailments
ureteric calculus,Kidney Ailments
URETERIC CALCULUS,Kidney Ailments
URETHRAL STRICTURE,Genitourinary Disorders
UROLOGY/NEPHROLOGY,Genitourinary Disorders
Urosepsis with DM-CYSTOSCOPY WITH D-J STENTING,Kidney Ailments
UTERINE FIBROID,Maternity & Reproductive Health (Uterine)
UTERINE FIBROID CYSTITIS,"Maternity & Reproductive Health (Uterine), Kidney Ailments"
UTI,Kidney Ailments
UTI,Kidney Ailments
UTI,Kidney Ailments
UTI,Kidney Ailments
UTI WITH DEHYDRATION,Kidney Ailments (with Dehydration)
UTI WITH DEHYDRATION,Kidney Ailments (with Dehydration)
UTI WITH ENTERIC FEVER,"Infectious Diseases, Kidney Ailments"
Uti With Lrti,"Kidney Ailments, Respiratory Disorders"
Uti With Lrti,"Kidney Ailments, Respiratory Disorders"
Uti With Lrti,"Kidney Ailments, Respiratory Disorders"
Uti With Lrti,"Kidney Ailments, Respiratory Disorders"
"UTI, PYREXIA",Kidney Ailments (with Fever)
Vaginal Bleeding in Pregnancy,Maternity & Reproductive Health
VARICOSE VEIN,Cardiovascular Disorders
"Vertigo, Palpatation, Numbness and pain in limbs, backpain, giddiness, Severe Headache, Generalised Weakness",Other (Requires More Context)
Viral Fever,Infectious Diseases
Viral Fever,Infectious Diseases
Viral Fever,Infectious Diseases
Viral Fever,Infectious Diseases
VOCAL CORD CYST,"Ear, Nose & Throat Disorders"
Walri,Respiratory Disorders
WRIST FRACTURE,Musculoskeletal Disorders